Start Nodes, Start Edges, Start Colours, Nodes, Edges, Colours
5, 5, 3, 80, 1516, 16
10, 10, 3, 160, 6256, 31
15, 15, 3, 240, 14221, 46
20, 20, 3, 320, 25411, 61
25, 25, 3, 400, 39826, 76
30, 30, 3, 480, 57466, 91
35, 35, 3, 560, 78331, 106
40, 40, 3, 640, 102421, 121
45, 45, 3, 720, 129736, 136
50, 50, 3, 800, 160276, 151
55, 55, 3, 880, 194041, 166
60, 60, 3, 960, 231031, 181
65, 65, 3, 1040, 271246, 196
70, 70, 3, 1120, 314686, 211
75, 75, 3, 1200, 361351, 226
80, 80, 3, 1280, 411241, 241
85, 85, 3, 1360, 464356, 256
90, 90, 3, 1440, 520696, 271
95, 95, 3, 1520, 580261, 286
100, 100, 3, 1600, 643051, 301
105, 105, 3, 1680, 709066, 316
110, 110, 3, 1760, 778306, 331
115, 115, 3, 1840, 850771, 346
120, 120, 3, 1920, 926461, 361
125, 125, 3, 2000, 1005376, 376
130, 130, 3, 2080, 1087516, 391
135, 135, 3, 2160, 1172881, 406
140, 140, 3, 2240, 1261471, 421
145, 145, 3, 2320, 1353286, 436
150, 150, 3, 2400, 1448326, 451
155, 155, 3, 2480, 1546591, 466
160, 160, 3, 2560, 1648081, 481
165, 165, 3, 2640, 1752796, 496
170, 170, 3, 2720, 1860736, 511
175, 175, 3, 2800, 1971901, 526
180, 180, 3, 2880, 2086291, 541
185, 185, 3, 2960, 2203906, 556
190, 190, 3, 3040, 2324746, 571
195, 195, 3, 3120, 2448811, 586
200, 200, 3, 3200, 2576101, 601
205, 205, 3, 3280, 2706616, 616
210, 210, 3, 3360, 2840356, 631
215, 215, 3, 3440, 2977321, 646
220, 220, 3, 3520, 3117511, 661
225, 225, 3, 3600, 3260926, 676
230, 230, 3, 3680, 3407566, 691
235, 235, 3, 3760, 3557431, 706
240, 240, 3, 3840, 3710521, 721
245, 245, 3, 3920, 3866836, 736
250, 250, 3, 4000, 4026376, 751
