Start Nodes, Nodes, Edges, Colours
./growingEdges/0025-edges.col,725, 137928, 151
./growingEdges/0050-edges.col,800, 160287, 151
./growingEdges/0075-edges.col,875, 182635, 151
./growingEdges/0100-edges.col,950, 204989, 151
./growingEdges/0125-edges.col,1025, 227345, 151
./growingEdges/0150-edges.col,1100, 249697, 151
./growingEdges/0175-edges.col,1175, 272050, 151
./growingEdges/0200-edges.col,1250, 294404, 151
./growingEdges/0225-edges.col,1325, 316761, 151
./growingEdges/0250-edges.col,1400, 339109, 151
./growingEdges/0275-edges.col,1475, 361458, 151
./growingEdges/0300-edges.col,1550, 383827, 151
./growingEdges/0325-edges.col,1625, 406187, 151
./growingEdges/0350-edges.col,1700, 428519, 151
./growingEdges/0375-edges.col,1775, 450896, 151
./growingEdges/0400-edges.col,1850, 473230, 151
./growingEdges/0425-edges.col,1925, 495600, 151
./growingEdges/0450-edges.col,2000, 517951, 151
./growingEdges/0475-edges.col,2075, 540300, 151
./growingEdges/0500-edges.col,2150, 562661, 151
./growingEdges/0525-edges.col,2225, 585009, 151
./growingEdges/0550-edges.col,2300, 607366, 151
./growingEdges/0575-edges.col,2375, 629721, 151
./growingEdges/0600-edges.col,2450, 652065, 151
./growingEdges/0625-edges.col,2525, 674416, 151
./growingEdges/0650-edges.col,2600, 696783, 151
./growingEdges/0675-edges.col,2675, 719115, 151
./growingEdges/0700-edges.col,2750, 741467, 151
./growingEdges/0725-edges.col,2825, 763837, 151
./growingEdges/0750-edges.col,2900, 786195, 151
./growingEdges/0775-edges.col,2975, 808560, 151
./growingEdges/0800-edges.col,3050, 830906, 151
./growingEdges/0825-edges.col,3125, 853258, 151
./growingEdges/0850-edges.col,3200, 875604, 151
./growingEdges/0875-edges.col,3275, 897961, 151
./growingEdges/0900-edges.col,3350, 920308, 151
./growingEdges/0925-edges.col,3425, 942668, 151
./growingEdges/0950-edges.col,3500, 965018, 151
./growingEdges/0975-edges.col,3575, 987376, 151
./growingEdges/1000-edges.col,3650, 1009727, 151
./growingEdges/1025-edges.col,3725, 1032094, 151
./growingEdges/1050-edges.col,3800, 1054461, 151
./growingEdges/1075-edges.col,3875, 1076800, 151
./growingEdges/1100-edges.col,3950, 1099147, 151
./growingEdges/1125-edges.col,4025, 1121509, 151
./growingEdges/1150-edges.col,4100, 1143856, 151
./growingEdges/1175-edges.col,4175, 1166206, 151
./growingEdges/1200-edges.col,4250, 1188560, 151
./growingEdges/1225-edges.col,4325, 1210920, 151
./growingEdges/1250-edges.col,4400, 1233269, 151
